Episode: 0, Energy: 28.70, Reward: 10669510.41, Tasks Completed: 19/20
Episode: 1, Energy: 3.57, Reward: 11431095.63, Tasks Completed: 3/20
Episode: 2, Energy: 4.22, Reward: 12028248.96, Tasks Completed: 6/20
Episode: 3, Energy: 5.65, Reward: 9068481.08, Tasks Completed: 7/20
Episode: 4, Energy: 27.01, Reward: 8544353.21, Tasks Completed: 17/20
Episode: 5, Energy: 13.21, Reward: 7662707.68, Tasks Completed: 7/20
Episode: 6, Energy: 26.05, Reward: 13740190.35, Tasks Completed: 19/20
Episode: 7, Energy: 3.83, Reward: 7421514.01, Tasks Completed: 3/20
Episode: 8, Energy: 3.14, Reward: 10724617.92, Tasks Completed: 3/20
Episode: 9, Energy: 31.73, Reward: 12788713.00, Tasks Completed: 19/20
Episode: 10, Energy: 24.54, Reward: 11938184.95, Tasks Completed: 17/20
Episode: 11, Energy: 5.88, Reward: 9352495.84, Tasks Completed: 6/20
Episode: 12, Energy: 6.50, Reward: 8534240.79, Tasks Completed: 3/20
Episode: 13, Energy: 5.75, Reward: 9290280.15, Tasks Completed: 3/20
Episode: 14, Energy: 0.64, Reward: 9335981.25, Tasks Completed: 1/20
Episode: 15, Energy: 15.75, Reward: 9257037.12, Tasks Completed: 7/20
Episode: 16, Energy: 0.28, Reward: 9934231.27, Tasks Completed: 1/20
Episode: 17, Energy: 3.00, Reward: 8919531.58, Tasks Completed: 3/20
Episode: 18, Energy: 2.98, Reward: 8972928.55, Tasks Completed: 3/20
Episode: 19, Energy: 20.57, Reward: 8598740.24, Tasks Completed: 17/20
Episode: 20, Energy: 13.04, Reward: 9396368.76, Tasks Completed: 7/20
Episode: 21, Energy: 6.43, Reward: 10105521.34, Tasks Completed: 3/20
Episode: 22, Energy: 10.89, Reward: 8386908.64, Tasks Completed: 7/20
Episode: 23, Energy: 2.81, Reward: 9169140.03, Tasks Completed: 3/20
Episode: 24, Energy: 10.45, Reward: 8034942.09, Tasks Completed: 6/20
Episode: 25, Energy: 0.35, Reward: 10213343.74, Tasks Completed: 1/20
Episode: 26, Energy: 22.37, Reward: 9502325.07, Tasks Completed: 17/20
Episode: 27, Energy: 28.15, Reward: 12325509.55, Tasks Completed: 19/20
Episode: 28, Energy: 8.60, Reward: 9572532.51, Tasks Completed: 5/20
Episode: 29, Energy: 0.43, Reward: 8269983.20, Tasks Completed: 1/20
