Episode: 0, Total Reward: -33337.551114327565, Epsilon: 0.995
Episode: 1, Total Reward: -35917.62665158306, Epsilon: 0.990025
Episode: 2, Total Reward: -33596.470681326515, Epsilon: 0.985074875
Episode: 3, Total Reward: -38034.4979561409, Epsilon: 0.9801495006250001
Episode: 4, Total Reward: -36749.30184933327, Epsilon: 0.9752487531218751
Episode: 5, Total Reward: -38866.85477404745, Epsilon: 0.9703725093562657
Episode: 6, Total Reward: -36781.43756509441, Epsilon: 0.9655206468094844
Episode: 7, Total Reward: -37129.95283302454, Epsilon: 0.960693043575437
Episode: 8, Total Reward: -40847.87421608084, Epsilon: 0.9558895783575597
Episode: 9, Total Reward: -39024.310890176595, Epsilon: 0.9511101304657719
Episode: 10, Total Reward: -31684.283262679535, Epsilon: 0.946354579813443
Episode: 11, Total Reward: -34239.37191690537, Epsilon: 0.9416228069143757
Episode: 12, Total Reward: -33579.30152805291, Epsilon: 0.9369146928798039
Episode: 13, Total Reward: -36288.74899607031, Epsilon: 0.9322301194154049
Episode: 14, Total Reward: -40170.66318960177, Epsilon: 0.9275689688183278
Episode: 15, Total Reward: -34335.91540130122, Epsilon: 0.9229311239742362
Episode: 16, Total Reward: -41129.810169772136, Epsilon: 0.918316468354365
Episode: 17, Total Reward: -38039.418938589384, Epsilon: 0.9137248860125932
Episode: 18, Total Reward: -38413.39696601596, Epsilon: 0.9091562615825302
Episode: 19, Total Reward: -41498.063665499096, Epsilon: 0.9046104802746175
Episode: 20, Total Reward: -39237.60347497499, Epsilon: 0.9000874278732445
Episode: 21, Total Reward: -37537.78260931371, Epsilon: 0.8955869907338783
Episode: 22, Total Reward: -39580.373146152175, Epsilon: 0.8911090557802088
Episode: 23, Total Reward: -38503.736550948335, Epsilon: 0.8866535105013078
Episode: 24, Total Reward: -37413.10731266435, Epsilon: 0.8822202429488013
Episode: 25, Total Reward: -33542.87741667994, Epsilon: 0.8778091417340573
Episode: 26, Total Reward: -38326.26601336801, Epsilon: 0.8734200960253871
Episode: 27, Total Reward: -44153.73010517862, Epsilon: 0.8690529955452602
Episode: 28, Total Reward: -40304.24513084287, Epsilon: 0.8647077305675338
Episode: 29, Total Reward: -38768.088145436224, Epsilon: 0.8603841919146962
Episode: 30, Total Reward: -36590.89243589825, Epsilon: 0.8560822709551227
Episode: 31, Total Reward: -33334.5112733001, Epsilon: 0.851801859600347
Episode: 32, Total Reward: -33844.99005521032, Epsilon: 0.8475428503023453
Episode: 33, Total Reward: -35431.944172966614, Epsilon: 0.8433051360508336
Episode: 34, Total Reward: -38540.51948807415, Epsilon: 0.8390886103705794
Episode: 35, Total Reward: -39460.01906274267, Epsilon: 0.8348931673187264
Episode: 36, Total Reward: -29710.49979243792, Epsilon: 0.8307187014821328
Episode: 37, Total Reward: -38084.699829876954, Epsilon: 0.8265651079747222
Episode: 38, Total Reward: -37242.4437517143, Epsilon: 0.8224322824348486
Episode: 39, Total Reward: -36756.41193880435, Epsilon: 0.8183201210226743
Episode: 40, Total Reward: -38676.920535375924, Epsilon: 0.8142285204175609
Episode: 41, Total Reward: -37914.965789316855, Epsilon: 0.810157377815473
Episode: 42, Total Reward: -39154.1268162557, Epsilon: 0.8061065909263957
Episode: 43, Total Reward: -36176.75560385205, Epsilon: 0.8020760579717637
Episode: 44, Total Reward: -39406.84372853056, Epsilon: 0.798065677681905
Episode: 45, Total Reward: -36881.2140140013, Epsilon: 0.7940753492934954
Episode: 46, Total Reward: -37046.63161757245, Epsilon: 0.7901049725470279
Episode: 47, Total Reward: -36237.9023722223, Epsilon: 0.7861544476842928
